prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,256,13.312000000000001
0,0,1,256,13.216000000000001
0,0,1,256,13.216000000000001
0,0,1,256,13.217000000000002
0,0,1,256,13.184000000000001
0,0,1,256,13.216000000000001
0,0,1,256,13.152000000000001
0,0,1,256,13.216000000000001
0,0,1,256,13.216000000000001
0,0,1,256,13.216
0,0,1,256,13.151
0,0,1,256,13.183
0,0,1,256,13.184000000000001
0,0,1,256,13.183
0,0,1,256,13.215
0,0,1,256,13.184000000000001
0,0,1,256,13.152000000000001
0,0,1,256,13.216
0,0,1,256,13.184
0,0,1,256,13.216000000000001
0,0,1,256,13.186
0,0,1,256,13.184000000000001
0,0,1,256,13.183999999999997
0,0,1,256,13.183
0,0,1,256,13.152000000000001
0,0,1,256,13.154
0,0,1,256,13.120000000000001
0,0,1,256,13.183
0,0,1,256,13.215
0,0,1,256,13.152
0,0,1,256,13.216000000000001
0,0,1,256,13.184000000000001
0,0,1,256,13.184000000000001
0,0,1,256,13.152000000000001
0,0,1,256,13.152999999999999
0,0,1,256,13.184000000000001
0,0,1,256,13.472000000000001
0,0,1,256,13.216000000000001
0,0,1,256,13.25
0,0,1,256,13.248000000000001
0,0,1,256,13.251000000000001
0,0,1,256,13.248000000000001
0,0,1,256,13.282
0,0,1,256,13.25
0,0,1,256,13.312000000000001
0,0,1,256,13.248000000000001
0,0,1,256,13.248000000000001
0,0,1,256,13.28
0,0,1,256,13.184000000000001
0,0,1,256,13.216000000000001
0,0,1,256,13.280000000000001
0,0,1,256,13.312
0,0,1,256,13.250000000000002
0,0,1,256,13.344000000000001
0,0,1,256,13.249
0,0,1,256,13.280000000000001
0,0,1,256,13.280999999999999
0,0,1,256,13.280000000000001
0,0,1,256,13.248000000000001
0,0,1,256,13.213999999999999
0,0,1,256,13.215
0,0,1,256,13.216000000000001
0,0,1,256,13.312
0,0,1,256,13.279
0,0,1,256,13.280000000000001
0,0,1,256,13.314000000000002
0,0,1,256,13.248999999999999
0,0,1,256,13.281000000000002
0,0,1,256,13.248000000000001
0,0,1,256,13.247
0,0,1,256,13.216999999999999
0,0,1,256,13.280999999999999
0,0,1,256,13.346
0,0,1,256,13.154
0,0,1,256,13.184
0,0,1,256,13.181999999999999
0,0,1,256,13.184999999999999
0,0,1,256,13.247
0,0,1,256,13.152999999999999
0,0,1,256,13.248000000000001
0,0,1,256,13.216000000000001
0,0,1,256,13.152000000000001
0,0,1,256,13.120000000000001
0,0,1,256,13.185
0,0,1,256,13.085999999999999
0,0,1,256,13.184999999999999
0,0,1,256,13.184000000000001
0,0,1,256,13.152
0,0,1,256,13.184000000000001
0,0,1,256,13.184000000000001
0,0,1,256,13.184000000000001
0,0,1,256,13.216000000000001
0,0,1,256,13.216000000000001
0,0,1,256,13.152000000000001
0,0,1,256,13.120999999999999
0,0,1,256,13.186
0,0,1,256,13.185
0,0,1,256,13.184000000000001
0,0,1,256,13.184000000000001
0,0,1,256,13.120000000000001
0,0,1,256,13.149999999999999
0,0,1,256,13.184999999999999
0,0,1,256,13.184000000000001
0,0,1,256,13.216999999999999
0,0,1,256,13.152000000000001
0,0,1,256,13.153
0,0,1,256,13.183
0,0,1,256,13.122
0,0,1,1024,16.383
0,0,1,1024,16.224999999999998
0,0,1,1024,16.224
0,0,1,1024,16.226
0,0,1,1024,16.128
0,0,1,1024,16.127
0,0,1,1024,16.192
0,0,1,1024,16.160999999999998
0,0,1,1024,16.224
0,0,1,1024,16.192999999999998
0,0,1,1024,16.097
0,0,1,1024,16.191
0,0,1,1024,16.097
0,0,1,1024,16.159
0,0,1,1024,16.095
0,0,1,1024,16.192
0,0,1,1024,16.194
0,0,1,1024,16.322
0,0,1,1024,16.160999999999998
0,0,1,1024,16.192
0,0,1,1024,16.16
0,0,1,1024,16.225
0,0,1,1024,16.224
0,0,1,1024,16.224999999999998
0,0,1,1024,16.16
0,0,1,1024,16.192
0,0,1,1024,16.194
0,0,1,1024,16.224
0,0,1,1024,16.128
0,0,1,1024,16.064
0,0,1,1024,16.127
0,0,1,1024,16.066
0,0,1,1024,16.16
0,0,1,1024,16.128
0,0,1,1024,16.16
0,0,1,1024,16.16
0,0,1,1024,16.480999999999998
0,0,1,1024,16.288
0,0,1,1024,16.257
0,0,1,1024,16.256
0,0,1,1024,16.256
0,0,1,1024,16.255
0,0,1,1024,16.224999999999998
0,0,1,1024,16.256
0,0,1,1024,16.352999999999998
0,0,1,1024,16.322
0,0,1,1024,16.352
0,0,1,1024,16.258
0,0,1,1024,16.223
0,0,1,1024,16.288
0,0,1,1024,16.291
0,0,1,1024,16.192
0,0,1,1024,16.322
0,0,1,1024,16.289
0,0,1,1024,16.256
0,0,1,1024,16.226
0,0,1,1024,16.32
0,0,1,1024,16.288
0,0,1,1024,16.256
0,0,1,1024,16.352
0,0,1,1024,16.225
0,0,1,1024,16.32
0,0,1,1024,16.319
0,0,1,1024,16.256999999999998
0,0,1,1024,16.224
0,0,1,1024,16.320999999999998
0,0,1,1024,16.192
0,0,1,1024,16.256999999999998
0,0,1,1024,16.257
0,0,1,1024,16.320999999999998
0,0,1,1024,16.192
0,0,1,1024,16.256999999999998
0,0,1,1024,16.384
0,0,1,1024,16.224
0,0,1,1024,16.16
0,0,1,1024,16.224999999999998
0,0,1,1024,16.16
0,0,1,1024,16.062
0,0,1,1024,16.193
0,0,1,1024,16.223
0,0,1,1024,16.160999999999998
0,0,1,1024,16.128
0,0,1,1024,16.128
0,0,1,1024,16.192
0,0,1,1024,16.192999999999998
0,0,1,1024,16.224999999999998
0,0,1,1024,16.192
0,0,1,1024,16.195999999999998
0,0,1,1024,16.162
0,0,1,1024,16.096
0,0,1,1024,16.096
0,0,1,1024,16.128
0,0,1,1024,16.129
0,0,1,1024,16.128
0,0,1,1024,16.16
0,0,1,1024,16.224
0,0,1,1024,16.192999999999998
0,0,1,1024,16.128
0,0,1,1024,16.095
0,0,1,1024,16.191
0,0,1,1024,16.192
0,0,1,1024,16.16
0,0,1,1024,16.256
0,0,1,1024,16.192
0,0,1,1024,16.064
0,0,1,1024,16.128
0,0,1,1024,16.158
0,0,1,1024,16.192
0,0,1,4096,31.712000000000003
0,0,1,4096,32.480000000000004
0,0,1,4096,32.256
0,0,1,4096,32.32
0,0,1,4096,32.449000000000005
0,0,1,4096,31.937000000000005
0,0,1,4096,32.608000000000004
